category,meanRAX,sdRAX,minRAX,maxRAX,lenRAX,stepRAX,rmsRAX,entropy1RAX,entrpy2RAX,fftRAX,meanRAY,sdRAY,minRAY,maxRAY,lenRAY,stepRAY,rmsRAY,entropy1RAY,entrpy2RAY,fftRAY,meanRAZ,sdRAZ,minRAZ,maxRAZ,lenRAZ,stepRAZ,rmsRAZ,entropy1RAZ,entrpy2RAZ,fftRAZ,meanGX,sdGX,minGX,maxGX,lenGX,stepGX,rmsGX,entropy1GX,entrpy2GX,fftGX,meanGY,sdGY,minGY,maxGY,lenGY,stepGY,rmsGY,entropy1GY,entrpy2GY,fftGY,meanGZ,sdGZ,minGZ,maxGZ,lenGZ,stepGZ,rmsGZ,entropy1GZ,entrpy2GZ,fftGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.14804,0.20651,-0.52333,0.36208,136,2720,0.25348,5.9844,8.7381,0.11907,-0.1833,0.20851,-0.59148,0.26514,136,2720,0.27705,6.1553,10.439,0.19806,9.8409,0.43964,8.74,10.564,136,2720,9.8507,7.086,13197,0.42925,-0.00010412,0.017253,-0.038574,0.02652,136,2720,0.01719,-42.82,0.040189,0.016262,-0.0048125,0.0093695,-0.028976,0.020355,136,2720,0.010502,5.6333,0.015001,0.004461,-0.012013,0.0077036,-0.025589,0.004776,136,2720,0.014255,6.6899,0.027637,0.0088216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.12878,0.28414,-0.86925,0.32962,58,1160,0.30972,4.0982,5.5639,0.14038,-0.07228,0.2826,-0.49329,0.4445,58,1160,0.28933,3.7453,4.8552,0.25274,9.7254,0.59198,8.9753,10.997,58,1160,9.7431,5.8554,5505.8,0.59487,-0.0021617,0.01716,-0.033768,0.024826,58,1160,0.017148,2.0057,0.017056,0.016673,-0.00070559,0.012829,-0.036392,0.014816,58,1160,0.012737,-5.4926,0.0094096,0.0078494,-0.010151,0.009541,-0.027206,0.006485,58,1160,0.013875,5.1022,0.011165,0.010625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-0.5754,0.41614,-1.8157,0.32622,129,2580,0.70917,6.6606,64.876,0.24241,-0.088256,0.29453,-0.53931,0.69353,129,2580,0.30637,5.4816,12.108,0.32078,9.7329,0.61405,8.6954,11.489,129,2580,9.7521,7.0084,12268,0.64753,-0.0038178,0.024418,-0.047867,0.062622,129,2580,0.024621,2.8771,0.078202,0.023127,0.00094474,0.025414,-0.05603,0.074463,129,2580,0.025333,4.4737,0.082785,0.012099,-0.0055517,0.0073199,-0.016495,0.0067902,129,2580,0.0091645,5.7329,0.010834,0.0091521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-0.5754,0.41614,-1.8157,0.32622,129,2580,0.70917,6.6606,64.876,0.24241,-0.088256,0.29453,-0.53931,0.69353,129,2580,0.30637,5.4816,12.108,0.32078,9.7329,0.61405,8.6954,11.489,129,2580,9.7521,7.0084,12268,0.64753,-0.0038178,0.024418,-0.047867,0.062622,129,2580,0.024621,2.8771,0.078202,0.023127,0.00094474,0.025414,-0.05603,0.074463,129,2580,0.025333,4.4737,0.082785,0.012099,-0.0055517,0.0073199,-0.016495,0.0067902,129,2580,0.0091645,5.7329,0.010834,0.0091521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-2.1083,1.0671,-3.8749,-0.33389,117,2340,2.3609,6.6636,652.14,1.2646,0.063388,0.20853,-0.4731,0.48848,117,2340,0.2171,4.8558,5.5145,0.15403,10.021,0.76657,8.9893,11.79,117,2340,10.05,6.8663,11817,0.79504,0.002783,0.015232,-0.020462,0.026886,117,2340,0.01542,3.2276,0.027819,0.011826,-0.05593,0.088931,-0.19276,0.046417,117,2340,0.10473,5.0142,1.2834,0.033296,-0.00038382,0.0089729,-0.014496,0.015945,117,2340,0.0089427,7.6844,0.0093567,0.0095678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.16687,0.62635,-0.91978,1.2779,51,1020,0.64223,4.0668,21.036,0.2277,-0.11523,0.21835,-0.50131,0.13434,51,1020,0.24499,3.5165,3.0609,0.18364,8.9789,0.928,7.6025,10.548,51,1020,9.0258,5.6649,4154.7,0.3751,0.014433,0.018929,-0.015671,0.035706,51,1020,0.023656,4.3846,0.02854,0.0086179,-0.07717,0.072649,-0.14896,0.10007,51,1020,0.1055,5.1052,0.56761,0.032353,0.0056078,0.0043666,-0.004425,0.011642,51,1020,0.007081,5.1579,0.0025571,0.0035875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.84044,0.69484,-2.3179,1.2779,166,3320,1.0891,6.9042,196.92,0.71233,0.014518,0.38309,-0.78943,0.72502,166,3320,0.38221,1.7035,24.25,0.46063,9.6287,1.0251,6.6531,11.208,166,3320,9.6828,7.3666,15564,0.89287,-0.004914,0.035683,-0.06308,0.057693,166,3320,0.035913,3.5899,0.21409,0.045538,0.078888,0.16337,-0.26262,0.27336,166,3320,0.18097,6.0692,5.4367,0.085905,-0.010352,0.011188,-0.036209,0.0059052,166,3320,0.015218,6.4099,0.038443,0.0099904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.84044,0.69484,-2.3179,1.2779,166,3320,1.0891,6.9042,196.92,0.71233,0.014518,0.38309,-0.78943,0.72502,166,3320,0.38221,1.7035,24.25,0.46063,9.6287,1.0251,6.6531,11.208,166,3320,9.6828,7.3666,15564,0.89287,-0.004914,0.035683,-0.06308,0.057693,166,3320,0.035913,3.5899,0.21409,0.045538,0.078888,0.16337,-0.26262,0.27336,166,3320,0.18097,6.0692,5.4367,0.085905,-0.010352,0.011188,-0.036209,0.0059052,166,3320,0.015218,6.4099,0.038443,0.0099904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.82083,0.22873,-1.1702,-0.43556,50,1000,0.85149,5.5855,36.251,0.20751,-0.16892,0.18727,-0.4577,0.1409,50,1000,0.2508,4.7108,3.1451,0.085433,9.8117,0.27348,9.4037,10.245,50,1000,9.8155,5.6433,4817.2,0.16342,-0.018544,0.012704,-0.046951,-0.0025787,50,1000,0.022406,5.3211,0.025102,0.0078855,-0.040511,0.043081,-0.10681,0.032944,50,1000,0.058822,4.8025,0.173,0.043067,-0.0051651,0.0042759,-0.011703,0.0032501,50,1000,0.006678,5.0627,0.0022298,0.0046419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.88413,0.89766,-0.97318,2.6529,87,1740,1.2563,5.6725,137.31,0.74991,-0.28633,0.37548,-1.2983,0.42787,87,1740,0.47048,5.4115,19.257,0.336,9.8569,0.8202,8.6358,11.708,87,1740,9.8906,6.4381,8510.7,0.60153,-0.0022932,0.013863,-0.026031,0.021698,87,1740,0.013972,3.0061,0.016985,0.0085539,-0.044317,0.076726,-0.19217,0.052231,87,1740,0.088223,4.4706,0.67715,0.045189,-0.010164,0.014714,-0.03302,0.0098724,87,1740,0.017813,4.9335,0.027606,0.0076057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.35871,0.37631,-0.44357,1.1169,88,1760,0.51834,5.6055,23.643,0.2502,-0.14692,0.194,-0.53281,0.26593,88,1760,0.24248,5.4704,5.1739,0.15482,9.7231,0.44417,8.6358,10.981,88,1760,9.7332,6.4579,8336.6,0.33188,-0.0067976,0.01209,-0.02359,0.020905,88,1760,0.01381,5.2285,0.016782,0.010225,-0.0079035,0.016765,-0.036163,0.03009,88,1760,0.018449,4.7909,0.029951,0.010917,-0.01358,0.0051941,-0.021988,-0.0032654,88,1760,0.014529,6.34,0.018575,0.0052358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
